"outcome_label","Hispanic","Asian NH","NH Other","measure"
"MCI","1.28 (0.17, 2.75)","1.46 (0.76, 2.32)","2.14 (0.49, 3.72)","Ratio"
"AD","1.32 (0.29, 2.26)","0.88 (0.34, 1.59)","1.48 (0.32, 2.70)","Ratio"
"ADRD","1.08 (0.52, 1.65)","0.93 (0.54, 1.37)","1.17 (0.49, 1.85)","Ratio"
"MoCA","0.72 (0.46, 1.03)","1.07 (0.90, 1.28)","0.74 (0.31, 1.05)","Ratio"
"CDR-SB","1.14 (0.17, 2.70)","0.50 (0.09, 1.16)","1.18 (0.18, 3.31)","Ratio"
"MCI","0.067 (-0.229, 0.418)","0.113 (-0.069, 0.303)","0.290 (-0.139, 0.625)","Difference"
"AD","0.103 (-0.250, 0.380)","-0.043 (-0.236, 0.183)","0.156 (-0.237, 0.520)","Difference"
"ADRD","0.035 (-0.274, 0.312)","-0.040 (-0.254, 0.180)","0.088 (-0.274, 0.416)","Difference"
"MoCA","-6.260 (-12.439, 0.720)","1.480 (-2.251, 5.980)","-5.815 (-15.590, 1.209)","Difference"
"CDR-SB","0.273 (-2.538, 4.024)","-1.382 (-2.850, 0.393)","0.408 (-2.413, 5.828)","Difference"
