"Group","AD Prevalence (Dhana model)","AD Prevalence (Hybrid: Dhana + local race)","ADRD Prevalence (Matthews)"
"Overall (65+)","9.3%","8.9%","10.5%"
"--- By Race/Ethnicity ---","","",""
"White NH","8.4%","8.4%","10.3%"
"Hispanic","14.9%","11.6%","12.2%"
"Asian NH","5.0%","5.3%","8.4%"
"NH Other","15.9%","15.9%","13.8%"
"--- By Age Group ---","","",""
"65-69","3.1%","3.0%","---"
"70-74","5.7%","5.5%","---"
"75-79","9.5%","9.0%","---"
"80-84","16.7%","16.4%","---"
"85+","34.1%","33.2%","---"
"--- By Sex ---","","",""
"Female","10.8%","10.5%","---"
"Male","7.2%","6.9%","---"
